Point/Time,Mode,Tsa,Psa,Tta,Pta,Macha,Wf_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,PR_compressor1,N_compressor1,Nc_compressor1,Eta_is_compressor1,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_turbine1,N_turbine1,Nc_turbine1,Eta_is_turbine1,W5,Wc5,T5,P5,PR_exhduct,W7,Wc7,T7,P7,PR_exhaust1,T8,P8,V8,Mach8,T9,P9,Athroat_exhaust1,Athroat_geom_exhaust1,FG_exhaust1,FG,FN,RD,WF
19,OD,288.15,101325.0,288.15,101325.0,0,0.2375,17.0591062322477,,288.15,101325.0,1,17.0591062322477,17.0591062322477,288.15,101325.0,5.374777361225136,14993.971901256718,14993.971901256718,0.8345045486013272,17.059109044530185,4.175668513183304,498.74542085064996,544599.3161261369,1,0.2375,17.296609044530186,6.07058545915288,1025.3658720194596,544599.3161261369,2.491602041226936,14993.971901256718,7948.525564848313,0.8768801197246071,17.296607854686336,13.711650846556436,842.6356700086998,218573.9564806106,1,17.296607854686336,13.711650846556436,842.6356700086998,218573.9564806106,2.1571572314888785,717.6580699417041,117154.99641713331,528.0180015801849,1.0,717.6580699417041,101325.0,0.05759643142014823,0.05759643142014823,10044.67161656822,10044.67161656822,10044.67161656822,0.0,0.2375
20,OD,288.15,101325.0,288.15,101325.0,0,0.23,16.90113109109096,,288.15,101325.0,1,16.90113109109096,16.90113109109096,288.15,101325.0,5.289665239564786,14931.88278288005,14931.88278288005,0.8344336989657135,16.90113861238986,4.193224798781295,496.2943880883233,535975.330398902,1,0.23,17.13113861238986,6.070396659709505,1012.3638268096773,535975.3303989021,2.4936877512886357,14931.88278288005,7966.280138825485,0.8774747505604972,17.131139872903386,13.716594854437197,831.210377002258,214932.81591567825,1,17.131139872903386,13.716594854437197,831.210377002258,214932.81591567825,2.121221968079726,707.5076516722329,115153.2474919275,524.5330407250511,1.0,707.5076516722329,101325.0,0.05759643142014823,0.05759643142014823,9782.306596949818,9782.306596949818,9782.306596949818,0.0,0.23
21,OD,288.15,101325.0,288.15,101325.0,0,0.2225,16.735982797513145,,288.15,101325.0,1,16.735982797513145,16.735982797513145,288.15,101325.0,5.202523519899979,14864.835763757486,14864.835763757486,0.8341672679753056,16.735992755051022,4.2111815332400555,493.8006944851728,527145.6956538655,1,0.2225,16.958492755051022,6.070233297088736,999.270017533224,527145.6956538655,2.4957714662965707,14864.835763757486,7982.2991327320005,0.8779993882366739,16.958495418655634,13.721573437917735,819.7289815204377,211215.5310582532,1,16.958495418655634,13.721573437917735,819.7289815204377,211215.5310582532,2.0845352189316873,697.3185397306123,113112.36919181618,521.0035413249863,1.0,697.3185397306123,101324.99999999999,0.05759643142014823,0.05759643142014823,9514.34656994355,9514.34656994355,9514.34656994355,0.0,0.2225
22,OD,288.15,101325.0,288.15,101325.0,0,0.21500000000000002,16.557465001695576,,288.15,101325.0,1,16.557465001695576,16.557465001695576,288.15,101325.0,5.111915469863362,14788.617395337877,14788.617395337877,0.833614461525454,16.557479039480405,4.229093869034213,491.2382474344387,517964.83498390525,1,0.21500000000000002,16.772479039480405,6.0700228416729365,986.2156451181884,517964.83498390525,2.497784053269373,14788.617395337877,7993.756984130346,0.87823973111351,16.772482876129583,13.726511361971536,808.3544021026769,207369.74211438987,1,16.772482876129583,13.726511361971536,808.3544021026769,207369.74211438987,2.046580233055908,687.2356196510897,111005.10855897237,517.4791990063671,1.0,687.2356196510897,101325.0,0.05759643142014823,0.05759643142014823,9236.950712843987,9236.950712843987,9236.950712843987,0.0,0.21500000000000002
23,OD,288.15,101325.0,288.15,101325.0,0,0.20750000000000002,16.368014928006975,,288.15,101325.0,1,16.368014928006975,16.368014928006975,288.15,101325.0,5.018354343976755,14702.70748489686,14702.70748489686,0.8327669913303999,16.36803054794216,4.24727118772692,488.61680546890636,508484.7539034448,1,0.20750000000000002,16.575530547942158,6.069881420148323,973.1204193486994,508484.75390344474,2.499720057051408,14702.70748489686,8000.614335764138,0.8783030897745951,16.57553479566193,13.731443977996388,796.9954478854887,203416.6795874085,1,16.57553479566193,13.731443977996388,796.9954478854887,203416.6795874085,2.007566539229297,677.1782215453547,108842.53009278576,513.9316268192983,1.0,677.1782215453547,101324.99999999999,0.05759643142014823,0.05759643142014823,8951.674469372458,8951.674469372458,8951.674469372458,0.0,0.20750000000000002
24,OD,288.15,101325.0,288.15,101325.0,0,0.2,16.17030172846181,,288.15,101325.0,1,16.17030172846181,16.17030172846181,288.15,101325.0,4.922429783674517,14607.165898542695,14607.165898542695,0.8316834112499178,16.17031510800575,4.265970644314162,485.93305536148773,498765.19783082034,1,0.2,16.370315108005748,6.06985935384904,959.8882248644823,498765.1978308203,2.5015915411508716,14607.165898542695,8003.223432505462,0.8782541911354452,16.37031882690244,13.736408894617227,785.5557805652261,199379.1510828984,1,16.37031882690244,13.736408894617227,785.5557805652261,199379.1510828984,1.9677192310179956,667.0614723188595,106636.533966772,510.3298967497179,1.0,667.0614723188595,101324.99999999999,0.05759643142014823,0.05759643142014823,8660.188518546058,8660.188518546058,8660.188518546058,0.0,0.2
25,OD,288.15,101325.0,288.15,101325.0,0,0.1925,15.966324890120578,,288.15,101325.0,1,15.966324890120578,15.966324890120578,288.15,101325.0,4.824601739861185,14502.448768849881,14502.448768849881,0.8304490570034312,15.9663337356246,4.2853520530367,483.17468120580446,488852.77129143465,1,0.1925,16.1588337356246,6.069941229502389,946.4340906032244,488852.7712914347,2.503420198631962,14502.448768849881,8002.127453694211,0.8781057508895048,16.158836238936725,13.741434759567717,773.9591866075941,195273.95822666,1,16.158836238936725,13.741434759567717,773.9591866075941,195273.95822666,1.9272041275762153,656.8186604539417,104395.90426298295,506.6484723933823,1.0,656.8186604539417,101325.0,0.05759643142014823,0.05759643142014823,8363.722822892858,8363.722822892858,8363.722822892858,0.0,0.1925
26,OD,288.15,101325.0,288.15,101325.0,0,0.185,15.75733405348932,,288.15,101325.0,1,15.75733405348932,15.75733405348932,288.15,101325.0,4.725168304165525,14389.548386341712,14389.548386341712,0.8291035871123786,15.757338866471391,4.30555259602175,480.33610974624463,478777.67841957184,1,0.185,15.942338866471392,6.07010589253424,932.6991602813422,478777.67841957184,2.5052291850196404,14389.548386341712,7998.078879529008,0.877876399155024,15.942340056242864,13.746540477260814,762.1508820130515,191111.3287688361,1,15.942340056242864,13.746540477260814,762.1508820130515,191111.3287688361,1.8861221689497765,646.4023042115718,102126.00877360889,502.86782283283276,1.0,646.4023042115718,101325.0,0.05759643142014823,0.05759643142014823,8063.025081839611,8063.025081839611,8063.025081839611,0.0,0.185
27,OD,288.15,101325.0,288.15,101325.0,0,0.17750000000000002,15.538775978002436,,288.15,101325.0,1,15.538775978002436,15.538775978002436,288.15,101325.0,4.623059027407241,14267.507842538002,14267.507842538002,0.8275137060831766,15.538781603746644,4.326359535019123,477.4070096912897,468431.45595203876,1,0.17750000000000002,15.716281603746644,6.070368136705993,918.772489750688,468431.4559520387,2.506591073437903,14267.507842538002,7990.122550252682,0.8775667398094467,15.716281125976831,13.74971014351118,750.2362284514662,186879.88675774058,1,15.716281125976831,13.74971014351118,750.2362284514662,186879.88675774058,1.8443610832246788,638.449394897954,101325.0,493.5093718696245,0.9870873473539694,638.449394897954,101324.99999999999,0.05759643142014823,0.05759643142014823,7756.132026607261,7756.132026607261,7756.132026607261,0.0,0.17750000000000002
28,OD,288.15,101325.0,288.15,101325.0,0,0.16999999999999998,15.282842661107413,,288.15,101325.0,1,15.282842661107413,15.282842661107413,288.15,101325.0,4.5118410116587455,14124.156432190446,14124.156432190446,0.8250227670876124,15.282859865314824,4.34583361920995,474.31092472657537,457162.2905063224,1,0.16999999999999998,15.452859865314824,6.070686979112818,905.2857220172289,457162.2905063224,2.505614257578679,14124.156432190446,7968.544375534588,0.8767859818578848,15.452832751242891,13.742563662792387,738.9534523567504,182455.17606054214,1,15.452832751242891,13.742563662792385,738.9534523567504,182455.17606054217,1.8006925838691554,632.5998309878048,101325.0,480.7911397289216,0.9657853281310237,632.5998309878048,101325.0,0.05759643142014823,0.05759643142014823,7429.585070510477,7429.585070510477,7429.585070510477,0.0,0.16999999999999998
